color_name,description
Arbor White,A  warm white that  enriches wood in a subtle range of soft creamy hues. Exclusive to Woodluxe® stain products.
Linen White,"Fresh and delicately shaded with a touch of cream, this timeless white is a go-to for creating warm, relaxed spaces."
Geddy White,"Capturing the 1770s paint color discovered by paint analysts on the exterior of the Geddy House, this soft white is reminiscent of 18th century creamware."
Franklin White,"Based on 18th century white oil paint, this subtle, stylish color can anchor a traditional room or energize a trendy one."
Ludwell White,"Based on distemper paint from 18th century wallpapers, this creamy color gains depth from a mix of yellow ochre and white pigments."
Bruton White,"Anchored in 18th century tradition, this soft gray was created using white and a touch of black pigment to achieve a chalky, romantic quality."
Adobe White,"Baring the slightest hint of orange, this off-white hue brings to mind a crisp stucco façade gently aged by the sun."
White Rain,A soft blue-gray that cleanses like a cool summer rain.
Berber White,"A fresh, sophisticated beige that conjures stately sandstone façades."
Woodland White,"Invigorated with a drop of mint green, this barely there hue is as refreshing as a morning mist."
White Oaks,The slightest hint of pink flatters this stunning shade of beige.
Corinthian White,"Subtle butterscotch undertones give this pale hue a cozy, lived-in feel. "
White Swan,"Warm, creamy tones give this understated neutral a welcoming quality."
Maritime White,A sophisticated beige with muted gray tones.
French White,A gentle dose of yellow provides warmth to this creamy beige.
White Sand,"A muted, easygoing beige that looks appealing in both traditional and modern spaces."
Parish White,"Based on the late 18th century paint color found by paint analysts at Burton Parish Church. It was Reverard Goodwin, the rector of the church in the early 20th century, who envisioned the restoration of Virginia's colonial capital and persudaded John D. Rockefeller, Jr. to tour the town in 1926."
Creamy White,"A warm, gentle bisque hue that makes any space look relaxed and welcoming."
Montgomery White,"A soft, honeyed bisque that casts a delicate, warm glow."
Bone White,A gentle buff hue that brings a warm hint of color to the space.
Monterey White,"Warm, creamy tones give this understated neutral a welcoming quality."
White Satin,"A cool, soothing powder blue with a whisper of lilac."
Elmira White,A dash of pale pink distinguishes this soft shade of greige.
American White,"A cool, pale gray that has a refreshing effect on a space."
White Heaven,A pale yet luminous lilac that can bring instant levity to any space.
Genesis White,A light-as-air hue delicately shaded with hints of blue and gray.
Standish White,Notes of peach and cream distinguish this pale hue.
Aspen White,A barely there hue that glows with yellow and green undertones.
White Water,A light gray with a refreshing splash of blue.
Sandy White,A sophisticated light beige with just the right amount of warmth.
Lightning White,A pale yet dazzling yellow that can quietly illuminate a room.
Mountain Peak White,Soft notes of cream add richness to this crisp white.
Grand Teton White,"Warm, creamy tones give this understated neutral a welcoming quality."
White Winged Dove,A gentle neutral with a cool touch of gray undertone.
Whitewater Bay,Crisp pink tones add charm to this delicate white.
Devonshire Green,An adaptable dark hue that can conjure rain-soaked moss to elegant wrought iron.
Erin Green,An intense emerald with a cool blue cast.
Gloucester Green,"Inspired by the simple grandeur of the Duke of Gloucester Street, this sublimely subtle shade is a mix of lamp black, verdigris, yellow ochre and white."
Raleigh Green,"This pronounced, almost playful shade is based on the paint color found by researchers on a late 18th century house near Williamsburg."
Sea Green,"A mixture of the pigments verdigris and white, this restful, reassuring shade is anchored in the vibrant, dense beauty of the sea."
Timson Green,Based on early 19th century paint evidence found on the Timson House located just outside the historic area.
Georgian Green,A medium olive tone warmed by muted yellow undertones.
Narragansett Green,"A bold, blackened teal that conveys a strong sense of history and architectural relevance."
Newburg Green,A captivating shade of teal that brings stylish sophistication to a space.
Harrisburg Green,A lively jade spiked with blue undertones.
Green Hydrangea,The pastel blossoms from her aunt's garden were a perfect complement to the roses in her bridal bouquet.
Eve Green,A bold olive hue with a lemon twist.
Bahama Green,A bright shade of spearmint that captures the island spirit.
Amazon Green,"Gently clouded, this dark hue conjures the lush emerald depths of the Amazon."
Beau Green,A handsome hue that reveals depths of emerald and sapphire.
Ferndale Green,A silvery sage infused with a sophisticated touch of gray. Exclusive to Woodluxe® stain products.
True Green,A dark hue that stands out with ultra-rich emerald tones.
Clearspring Green,A bold shade of jade that can energize a space.
Green Bay,An intense emerald that sparkles with teal undertones.
Soft Green,A light wash of mint defines this soft hue.
Monmouth Green,A splashy jade hue with a wink of blue.
Seafoam Green,A light spearmint hue that has a rejuvenating effect.
Acadia Green,A muted aloe tone that soothes and stimulates.
Thayer Green,"In his crisp dress uniform, the new cadet strolled the hallowed hallways, a surge of pride filling his chest."
Mermaid Green,"An otherworldly shade of aqua that is perfect for fun, playful spaces."
Miami Green,"With its ultra-bright tone, this aquamarine has an almost futuristic feel."
Mantis Green,A youthful pastel bursting with minty freshness.
Bud Green,This intense shade of mint opens the door for playful spaces.
Traffic Light Green,A quintessential bright green.
Italian Ice Green,A refreshing light green with blue undertones.
Fresh Scent Green,A splashy green that stimulates and refreshes.
Stokes Forest Green,"A highly usable green with a cool, chalky quality."
Lucky Charm Green,A sprightly green that conjures enchanting faraway lands.
Tropical Seaweed Green,"Bright and lush, this medium green provokes a festive mood."
Great Barrington Green,A deep mossy green with a warm finish.
Woodland Hills Green,A citrusy green with a rich golden cast.
Snow Cone Green,A spirited shade of green with exuberant yellow undertones.
Early Spring Green,A melon-fresh green with a soft fluorescence.
Forest Hills Green,A rich avocado green warmed with subtle golden undertones.
Branch Brook Green,A jade green that conveys a bold sense of style.
Santa Barbara Green,"A sweet, sharp mint green that sets a playful mood."
Spring Meadow Green,A sweet shade of green marked by yellow undertones.
Black Forest Green,A blackened shade of green that permeates any space with a sense of reassurance.
Deep Sea Green,"A dark, moody teal green that suggests an evening sail in vast ocean waters."
Shore House Green,A breezy blue-green that can bring a playful pop of color to the space.
Green Cove Springs,A refreshing wash of green enlivened with a drop of yellow.
Rolling Hill Green,A softly shaded medium green that has both traditional and contemporary appeal.
Dollar Bill Green,"Touched with blue undertones, this deep, dark green conveys luxury and sophistication."
Scotch Plains Green,"Bright and splashed with blue, this emerald green has an unexpectedly playful side."
Van Alen Green,"Bright, clean undertones give this pastel green an ultra-fresh quality."
Sea Mist Green,"With its hint of blue, this bright green makes a refreshing splash."
Bunker Hill Green,A saturated shade of grass green has both a playful and sophisticated side.
Paradise Hills Green,An electrifying medium green that shows off a bold sense of style.
North Shore Green,"A tranquil pale hue invigorated with hints of green, gray and blue."
Willow Springs Green,"A vibrant lime green that shows off a unique, confident sense of style."
Kelp Forest Green,"A vibrant hue with intriguing undertones, this green captures a daring sense of style."
Key Largo Green,A muted blue-green that captures the easygoing elegance of coastal living.
Bassett Hall Green,"This fresh, fashionable shade of green, a part of Colonial Williamsburg's revival color palette, feels modern and sophisticated."
Fort Pierce Green,Gray undertones lend an air of mystery to this medium teal.
North Sea Green,"Engaging and deep, this soothing teal has a delicate gray undertone that enrichens this moody hue."
Forest Valley Green,A lively jade spiked with blue undertones.
Summer Basket Green,A muted jade that looks at home in both modern and traditional spaces.
Dakota Woods Green,"Rich and warm, this dark olive hue conjures a verdant, misted forest."
Kittery Point Green,A lush pistachio hue that can bring quaint charm to a space.
Greenwood Lake,A buoyant green that leans towards aqua.
Greenbrook,"Warm and lush, this olive green is symbolic of nature's bounty."
Greenwich Village,Gray tones lend a beautifully faded quality to this medium green.
Greenhow Moss,"This mossy, memorable green, a mix of lamp black, verdigris, yellow ochre and white pigments, is a balance between elegant and earthy."
Hampton Green,A flaxen hue with the slightest trace of green undertone.
Iguana Green,A tropical-inspired green with a touch of yellow.
Wales Green,A refreshing yellow-green that can softly illuminate a space.
Regent Green,A deep pine green that verges on black.
Green Meadows,"Rich and reassured, this dark green imparts a stately elegance."
Tarrytown Green,A deep pine green with a slightly cool cast.
Sussex Green,A sleek olive green darkened with a hint of charcoal.
Cedar Green,This beautifully grounded green infuses any room with fresh color.
Misted Green,A soft sage green with a soothing gray cast.
Forest Green,An enchanting dark green with a grounding yet sophisticated presence.
Egyptian Green,An almost-luminescent green splashed with a touch of aqua.
Pear Green,"Lightly muted, this yellow-green offers unexpected sophistication."
Caldwell Green,An attractive hunter green with regal blue undertones.
Hummingbird Green,A vibrant green buzzing with energy and confidence.
Spruce Green,A blue-tinged green that exudes effortless cool.
Fernwood Green,Warm undertones infuse this leafy green with calming comfort.
Vine Green,A dark green that delivers sophistication and personality.
Summer Green,A pastel that pulsates with spirited green and blue tones.
Winter Green,A mint green infused with icy blue undertones.
Deep Green,"A dark, distinguished green with a subtle teal cast."
Prescott Green,"A soft, powdery green with a trace of blue."
Calypso Green,An otherworldly dark green that conjures the ocean depths.
Lawn Green,"A radiant shade of green with a cool, sharp cast."
Garden Green,A pulsating green with a wink of teal.
Surf Green,An effervescent seafoam green with a cool splash of blue.
Alligator Green,An earthy green infused with warm yellow undertones.
Manor Green,"A rich, stately green that can command a room."
Fiddlehead Green,An attractive dark green with an appealing touch of blue.
Green Coral,A sharp spearmint green with crisp blue undertones.
Lime Green,A fun yellow-green for lovers of bold color.
Stem Green,A spirited spring green with a slightly chalky cast.
Yellow Green,A grassy green hue with the subtlest yellow undertone.
Potpourri Green,A sprightly light green scented with a hint of yellow.
Citrus Green,"A crisp, refreshing medium green that can deliver understated pop."
Rosemary Green,A touch of yellow gives this green an herbaceous bite.
Prairie Green,"An eye-catching medium green with a fresh, cool cast."
Jade Green,A dramatic green that conveys luxury and style.
Kelly Green,"A spirited medium green with cool, crisp cast."
Southfield Green,An effervescent green with a wink of blue.
Chrome Green,A rich ivy green that imparts a strong sense of heritage.
Essex Green,A nearly black shade of green that inspires thoughts of historic estates overgrown with ivy.
Candy Green,"Evoking candied limes and granny smith apples, this saturated yellow-green is the perfect embodiment of sweet and sour."
Springhill Green,A saturated shade of lime green that is buoyant and playful yet deeply rooted in the earth.
Green Essence,"Colored by the smallest drop of green, this delicate hue refreshes and awakens like your favorite springtime fragrance."
Taffeta Green,A pale yet bright green reminiscent of crisp taffeta drapes hanging in an elegant Rococo-style parlor.
Appalachian Green,"Offering the slightest hint of aloe green, this gentle hue can go a long way to refresh a space."
Burgess Green,"A part of Colonial Williamsburg's revival color palette, this beguiling and contemporary shade of fresh green packs a stylish punch."
Palace Green,"A mixture of Prussian blue, white and naturally occurring yellows, this rich, well-appointed green imbues rooms with style."
Goodwin Green,"This rich, intense shade of deep green captures the verdigris pigment's tendency to shift toward black as it ages."
Waller Green,"Smokey and supple, this very deep shade of green captures the look of verdigris as it ages."
Caribe Green,"A light, pulsating blue-green that immediately sets a fun tone."
Mallard Green,"A classic dark green that conjures the elegant patina of an old, luxurious study."
Budding Green,Picture the first green shoots on a drizzly spring day. Now imagine it in your room.
Nile Green,"Classic and subtly shaded, this green conveys mystery and Old World elegance."
Grape Green,An intriguing mid-tone that combines earthy green with cheerful yellow.
Celadon Green,"Crisp yellow and green tones come through in this light, refreshing hue."
Cushing Green,A balanced dark green that can flatter a wide range of color schemes and styles.
Yukon Green,A classic forest green that imparts a stately elegance into any space.
Tuscany Green,"A dark, muted olive green that conjures the lush rolling hills of the Italian countryside."
Fatigue Green,"Verging on black, this dark, malleable hue is distinguished by warm green undertones."
Pine Green,"A deep, dignified green that conveys a grounded sense of luxury."
Green Grove,"Warm and lush, this dark olive green captures the vitality of nature."
Newport Green,"With its subtle gray cast, an alluring air of mystery surrounds this teal-ish green."
Lichen Green,A lush yellow-green that captures the otherworldly hue of lichen.
Leisure Green,A soft stroke of blue-green makes for a soothing hue.
Cactus Green,A succulent green that brings a classic anchor to the room.
Terrapin Green,"Confident and playful, this pea green hue has a charming, vaguely retro quality."
Green Tint,"True to its name, this delicate gray exhibits the softest suggestion of green."
Cabana Green,"Bright and energetic, this blue-tinged green produces a festive mood."
Green Leaf,A hyper-charged green that shows a bold sense of style.
Meadowlands Green,A zippy shade of green sharpened with a touch of blue.
Very Green,A hint of gray adds mystery to this classic cool green.
Green Sponge,"An almost-fluorescent shade of medium green with a cool, crisp cast."
Army Green,"A dark, muted green that infuses a space with equal amounts earthiness and elegance."
Paradise Green,A hit of yellow brings tropical flavor to this bright green.
Scuba Green,An intriguing green that captures the vivid seafoam crest of crashing waves.
Adam Green,A splash of blue sharpens this intense shade of mint green.
Celtic Green,"A deep, leafy green that can anchor a room in sophistication."
Absolute Green,"Dark and rich, this green brings a dignified quality to the space."
Olympus Green,A hint of blue lends an air of refinement to this blackened green.
Smoky Green,"A gentle mix of blue, green and gray results in a color that exudes tranquility and inspires quiet meditation."
Green Earth,"Suggesting an eco-friendly attitude, this soft green takes its name from the naturally occuring pigment of the same name."
Turtle Green,"A dark olive green radiating with warmth, this rich hue can command a room without overpowering it."
Savannah Green,"Almost like gold leaf for your walls, this rich ochre features a balanced undertone of green and yellow."
Green Thumb,"Not your garden variety green, this one adds punch to your decor and brings the outdoors in."
Hillside Green,"A lush, warm green that stirs the senses, instantly conjuring the invigorating aroma of sage or the savory bite of rosemary."
Creekside Green,"Hazy green tones lend a moody, enigmatic quality to this dark gray."
Burwell Green,"Lush yet low-key, beautifully balanced Burwell green traces its color history to a mix of the pigments lamp black, verdigris, yellow ochre and white."
Nicolson Green,"A deep green that suggests wisdom and maturity, this more masculine shade has velvety richness. It is part of Colonial Williamsburg's revival color palette."
Parrot Green,"A vibrant hue as playful and fun as its name, Parrot Green is seen in 18th century chinoiserie wallpaper in Colonial Williamsburg's collections."
Palmer Green,"A deep, rich green with a touch of brown, this shade was created using popular 18th century pigments such as Prussian blue, yellow ochre and lamp black."
Russell Green,"A spring green with a fashionable twist, this richer shade, a part of Colonial Williamsburg's revival color palette, has a more modern sensibility."
Windsor Green,"This poised and elegant green was made using popular 18th century pigments such as Prussian blue, yellow ochre and lamp black."
Levingston Green,"Sleek and stylish, this light, luminous shade of soft green has a sun-kissed quality. It is part of Colonial Williamsburg's revival color palette."
Green with Envy,A classic medium green that leans slightly cool.
Sea of Green,An intense bluish green reminiscent of the unearthly hues of a beach lagoon.
Cypress Green,A warm olive mellowed out with touches of gray and brown.
Wispy Green,An airy hue scented with refreshing notes of lemon and lime.
Lewiville Green,A medium olive tone warmed by muted yellow undertones.
White Dove,Unerring style defines this clean and classic white.
Chantilly Lace,A classic go-to white that elicits images of fresh cotton and pure silk.
Swiss Coffee,An essential white with just the right amount of warmth.
White Heron,A classic bright white with the slightest cool cast.
Cloud White,"Soft and balanced, this go-to white can effortlessly buoy a space."
Ballet White,A crowd-pleasing off white that offers just the right amount of color.
Decorator's White,"A touch of cool gray gives this go-to white sleek, stylish appeal."
Seapearl,Cool gray undertones freshen up this shade of white.
Atrium White,"A fresh, youthful white with a flattering touch of pink."
Cloud Cover,A go-to white subtly shaded with a touch of gray-blue.
White,"A classic, all-purpose white that creates a clean canvas in the home."
Capitol White,"A rich, decorative shade, Capitol white references orders in Virginia's colonial records to paint public buildings with white oil paint."
White Christmas,Clean blue undertones define this optic white.
Snow White,Sharp blue tones brighten this cool white.
Onyx White,A rich off-white with a welcoming peach glow.
White Zinfandel,Crisp pink tones add charm to this delicate white.
Sebring White,"A sleek, refreshing white with cool blue-green undertones."
Oxford White,A classic bright white with the slightest cool cast.
Albany White,A softly shaded white with muted green undertones.
Dune White,A versatile white with hushed grayish green tones.
Cameo White,"A soft, antiqued white with a touch of cream."
White Violet,The softest touch of violet brightens this gentle off white.
Ivory White,Crisp cream undertones warm up this clean shade of white.
White Rock,"A delicate white with a soft, sunbaked glow."
Palace White,"A rich off-white with warm, sandy undertones."
Country White,Crisp peach tones warm up this off-white hue.
Brilliant White,An optic white with an airy blue cast.
Ultra White,"A crisp, bright white with cool undertones."
White Opulence,The slightest pink tone softens this fresh white.
Indian White,An off-white shaded with soft beige tones.
White Wisp,A gently cool white that instantly freshens up a space.
White Ice,A splash of blue brightens this refreshing white.
Floral White,"A pleasing white with soft, soothing green undertones."
China White,Cool gray undertones freshen up this shade of white.
Winter White,A crisp white with a subtle blue cast.
White Diamond,A sparkling white brightened with a hint of blue.
Glacier White,A versatile white with hushed grayish green tones.
Alpine White,A frothy white that glows with a lemony cast.
Acadia White,Crisp cream undertones warm up this clean shade of white.
Intense White,"An optic white with cool, blue-gray undertones."
White Down,The barest greige undertone gives this cozy white its feathery softness.
White River,"Soft grayish-green undertones give this off-white a floaty, effortless appeal."
Marble White,"Muted cream tones give this off-white an elegant, antique feel."
Evening White,"Delicate notes of peach give this off-white a cozy, welcoming feeling."
